Job Title,Company,Location,Salary,Date Posted,Todays Date,Summary,URL
Senior Full Stack Developer - Messaging,Logic20/20 Inc.,"San Diego, CA+1 location",Not Listed,PostedPosted 26 days ago,2022-07-26,You’ll work with solution architects and developers to translate wireframes and creative designs into functional requirements and then into technical design.,https://www.indeed.com/rc/clk?jk=467f489896fe52a8&fccid=2e9e942085461a66&vjs=3
Mid / Sr. Java Full Stack Developer - 22-023666600,"Evergreen Technologies, LLC.","San Diego, CA",Estimated $109K - $139K a year,PostedPosted 13 days ago,2022-07-26,"The primary projects include developing a colony management system, Clinical Data Repository (CDR), Electronic Health Record (EHR), and research data management…",https://www.indeed.com/rc/clk?jk=0ac82bdf451ddb00&fccid=506bdb7ba382e227&vjs=3
Full Stack Developer,Cali Style Technologies,"San Diego, CA",Estimated $96.6K - $122K a year,PostedPosted 30+ days ago,2022-07-26,Cali Style is seeking an experienced Full Stack Developer that has the ability to transform beautiful UI designs into working applications.,https://www.indeed.com/rc/clk?jk=a64bf7617924c3d2&fccid=7ce8e1c3557936e6&vjs=3
Sr. Full Stack Java Developer( Day 1 Onsite),Purple Drive Technologies,"San Diego, CA",Not Listed,PostedPosted 5 days ago,2022-07-26,"The skills requirement is Full stack Java with API development, and some AWS knowledge and some Kubernetes knowledge.",https://www.indeed.com/company/Purple-Drive-Technologies/jobs/Senior-Full-Stack-Java-Developer-6f199a6900862685?fccid=b50885016c495d25&vjs=3
Software Engineer,"Kyocera International, Inc.","San Diego, CA 92123",Estimated $92K - $117K a year,PostedPosted 30+ days ago,2022-07-26,"Preferred experience includes working on complex software systems and/or modern full-stack development frameworks.
Competitive Pay, depending on experience.",https://www.indeed.com/rc/clk?jk=8276b4ec04d1b539&fccid=62ab79d66c98c437&vjs=3
"Full Stack Developer, Mid",Booz Allen Hamilton,"San Diego, CA 92108 (Mission Valley East area)+1 location",Not Listed,PostedPosted 30+ days ago,2022-07-26,"We’re looking for a developer with the skills needed to build software from vision to production-ready system.
Experience with database design and development.",https://www.indeed.com/rc/clk?jk=487e4358ddaefeb3&fccid=4e041af1d0af1bc8&vjs=3
Full Stack Developer,"ReverseVision, Inc.","San Diego, CA",Estimated $98.3K - $124K a year,PostedPosted 30+ days ago,2022-07-26,"The FullStack Developer is a member of an Agile team responsible for the requirementsexecution including design, construction, integration, and maintenance of…",https://www.indeed.com/rc/clk?jk=1e0f86019a8165bf&fccid=0c37cb2f227a506b&vjs=3
Entry-Level Developer (Java Fullstack with Angular and AWS),Quintrix Solutions,"San Diego, CA 92101 (Core-Columbia area)",Not Listed,EmployerActive 8 days ago,2022-07-26,"Quintrix is looking for people eager to upskill into the competitive field of Java Full Stack Engineering.
Java Engineers are in high demand, so we are looking…",https://www.indeed.com/company/Quintrix/jobs/Entry-Level-Developer-99cb021f412ac0d7?fccid=448c6a409de61c4a&vjs=3
"Senior Software Engineer - Full Stack, Developer tools",TuSimple,"Remote in San Diego, CA",Estimated $148K - $188K a year,PostedPosted 30+ days ago,2022-07-26,"Experience with developing and maintaining large scale full stack microservices.
Develop full stack microservices running on Kubernetes cluster that enables…",https://www.indeed.com/rc/clk?jk=1af8cd85014a1278&fccid=fea34c44eddebdae&vjs=3
Federal - Full Stack Developer,Accenture,"San Diego, CA+6 locations",Not Listed,PostedPosted 30+ days ago,2022-07-26,"Experience with MEAN/DEAN (Mongo/Dynamo, Express, Angular, Node) stack.
Configure software products and systems to deploy code.",https://www.indeed.com/rc/clk?jk=b03b737bc4f5c4b3&fccid=a4e4e2eaf26690c9&vjs=3
Full Stack Software Engineer,Pack Digital,"San Diego, CA",Estimated $109K - $138K a year,PostedPosted 30+ days ago,2022-07-26,"Passion for technology and tools that enable better developer productivity.
Strong sense of empathy for developers and obstacles that block them from developing…",https://www.indeed.com/rc/clk?jk=d85cdee6a52c0f99&fccid=ec6eb4a45db2771e&vjs=3
Full Stack Web Developer | React | Node.js | MySQL,VisionWorks Engineering,"San Diego, CA 92128",Estimated $75.5K - $95.5K a year,PostedPosted 30+ days ago,2022-07-26,"Help lock down the technology stack from end to end.
We can start out with some flexibility (i.e. contract/part time), but are looking for someone that can come…",https://www.indeed.com/rc/clk?jk=6188548a1f2a286b&fccid=36a869cef2259571&vjs=3
Node / TypeScript Full Stack Engineer,AmeriSave,"San Diego, CA",Not Listed,PostedPosted 30+ days ago,2022-07-26,"Sign on bonus for this role is only applicable to full time employees who sign their offer by 8/31/22.
$10,000 Sign On Bonus *.",https://www.indeed.com/rc/clk?jk=6940aa1bd717f24d&fccid=432806e8384f9538&vjs=3
Full stack web tools Developer,Qcom,"San Diego, CA 92154 (Otay Mesa area)+2 locations",Estimated $99.3K - $126K a year,PostedPosted 30+ days ago,2022-07-26,"Qualcomm Tools team is looking for an experienced full-time SW engineer to develop cutting edge web based tools.
Cloud development experience (AWS, Azure).",https://www.indeed.com/rc/clk?jk=60746c252d36be8a&fccid=3b2efd9b73849383&vjs=3
Senior Engineer (full-stack node.js/React),Freedom Financial Network,"Remote in San Diego, CA 92135+1 location",Estimated $143K - $181K a year,PostedPosted 20 days ago,2022-07-26,"Proficient in building full-stack applications on node.js, React, AWS/Google Cloud.
Building new experiences to attract, educate, and retain Freedom Financial…",https://www.indeed.com/rc/clk?jk=c905abc6e4385e90&fccid=6147e1b77fcf388f&vjs=3
Full Stack Developer (REACTjs),KeyBank,"San Diego, CA 92128 (Sabre Springs area)",Estimated $104K - $132K a year,PostedPosted 26 days ago,2022-07-26,"Microservices in Kubernetes, with namespaces per developer and a robust CI/CD to automatically create individual environments.
You will lead by example.",https://www.indeed.com/rc/clk?jk=30d7f34823a9e459&fccid=23db8b01ff3384c2&vjs=3
Software Engineer – Full Stack,EMPIRICO,"San Diego, CA 92130 (Carmel Valley area)",Estimated $117K - $148K a year,PostedPosted 30+ days ago,2022-07-26,"Identify and solve problems across our entire technology stack.
Collaborate with a team of scientists and engineers to design, implement, and enhance…",https://www.indeed.com/rc/clk?jk=5e27c1d1f53123cf&fccid=f616106d96b83ffa&vjs=3
Full Stack Software Engineer,"Tandem Diabetes Care, Inc.","Remote in San Diego, CA 92121",Estimated $116K - $147K a year,PostedPosted 7 days ago,2022-07-26,A member of Sugarmate’s product development team responsible for maintaining Sugarmate’s existing frontend and backend web codebase and designing and developing…,https://www.indeed.com/rc/clk?jk=f6f275ada1ff27a6&fccid=90b07f1fecfcc175&vjs=3
(Senior) Software Engineer - Mobile,Stack Sports,"Remote in San Diego, CA",Estimated $142K - $180K a year,PostedPosted 6 days ago,2022-07-26,"Experience with full stack development (not required, but helpful).
Experience with full software development life cycle.
Degree in CS or engineering preferred.",https://www.indeed.com/rc/clk?jk=503526520f45f280&fccid=72ae58e4c3ebb6eb&vjs=3
Full Stack Developer,Lively Root,"San Diego, CA",Not Listed,PostedPosted 30+ days ago,2022-07-26,"You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment.",https://www.indeed.com/rc/clk?jk=c05641a491778b28&fccid=55f3c7a4b5614146&vjs=3
Staff Software Engineer – Full Stack Developer,ServiceNow,"San Diego, CA 92121 (University City area)",Estimated $143K - $181K a year,PostedPosted 14 days ago,2022-07-26,"Full stack development capabilities and ability to collaborate with on-shore and off-shore engineers.
Build high-quality, clean, scalable and reusable code by…",https://www.indeed.com/rc/clk?jk=2a302b777106b9d7&fccid=7442885bc0fa7c14&vjs=3
Full Stack Engineer,RetailOps,"San Diego, CA",Estimated $102K - $129K a year,PostedPosted 30+ days ago,2022-07-26,"Build reusable code and libraries for future use.
Ensure the technical feasibility of UI/UX designs.
Optimize application for maximum speed and scalability.",https://www.indeed.com/rc/clk?jk=a948b75e0bba2b48&fccid=6b5df1913fdc50a9&vjs=3
Full Stack Liferay Developer,SAIC,"San Diego, CA 92121+2 locations",Not Listed,PostedPosted 10 days ago,2022-07-26,"Must be able to obtain a full Secret Clearance; Interim Secret required prior to start, SAIC will help to obtain.
Minimum Clearance Required: Interim Secret.",https://www.indeed.com/rc/clk?jk=9ce6d7f987b20e33&fccid=f3b836e645f9b36d&vjs=3
"Front End Full Stack Developer, Software Engineering",Genalyte,"San Diego, CA 92130",Estimated $121K - $153K a year,PostedPosted 30+ days ago,2022-07-26,"You will do this by generating high quality, testable and documented code.
You will be expected to help identify and prioritize tasks and resources, and coach…",https://www.indeed.com/rc/clk?jk=2a016ef47fa14993&fccid=51d3ab465a17527d&vjs=3
NET Software Engineer,Forward Slope Inc.,"Remote in San Diego, CA 92108",Estimated $104K - $132K a year,PostedPosted 30+ days ago,2022-07-26,"8+ years of demonstrated full-stack software development experience with:
NET software engineer to provide software development and sustainment services for a…",https://www.indeed.com/rc/clk?jk=9daec418dad7224c&fccid=be45ae6366b01674&vjs=3
Full Stack Software Engineer,4Insite,"San Diego, CA",Estimated $111K - $140K a year,PostedPosted 30+ days ago,2022-07-26,"Those tools help facilities teams and service providers manage scope, coverage & quality while increasing overall communication and delivering job-specific…",https://www.indeed.com/rc/clk?jk=e07d9da933359177&fccid=06361cd62033f26a&vjs=3
Software Engineer II - Full Stack (Engagement),Classy,"Remote in San Diego, CA",Estimated $57.2K - $72.4K a year,PostedPosted 10 days ago,2022-07-26,"3+ years of professional software development experience with server-side, web-based technologies (full-stack preferred).",https://www.indeed.com/company/Classy/jobs/Software-Engineer-45b9943c7e2e050c?fccid=b5eb441990b44e2d&vjs=3
Sr Full Stack Engineer,XIFIN,"San Diego, CA 92130",Estimated $117K - $148K a year,PostedPosted 30+ days ago,2022-07-26,XIFIN is a San-Diego based SaaS company that leverages diagnostic information to improve the quality and economics of healthcare.,https://www.indeed.com/rc/clk?jk=e39054a414ffbdb5&fccid=e082b4b3745a2f6e&vjs=3
